,Age,MonthlyCharges,Contract Type,Tenure,Churn
188,18,925,prepaid,39,0
189,62,1470,prepaid,41,1
190,51,1618,prepaid,20,0
191,46,246,prepaid,1,1
192,26,694,postpaid,3,1
193,49,585,postpaid,8,0
194,25,776,postpaid,36,1
195,34,1797,postpaid,1,1
196,69,1127,postpaid,24,0
197,28,367,prepaid,7,1
198,44,651,postpaid,7,1
199,34,708,postpaid,27,1
200,57,1412,prepaid,4,0
201,63,754,prepaid,30,1
202,48,218,postpaid,20,1
203,34,1373,postpaid,18,0
204,53,387,prepaid,43,1
205,26,1262,prepaid,5,0
206,60,1148,prepaid,22,0
207,35,1997,prepaid,46,0
208,66,593,prepaid,36,1
209,58,1314,postpaid,36,0
210,43,1932,postpaid,29,1
211,21,1626,prepaid,43,0
212,56,1520,postpaid,11,0
213,29,770,prepaid,43,0
214,42,292,prepaid,43,0
215,56,388,postpaid,8,1
216,44,500,postpaid,28,1
217,58,744,postpaid,29,0
218,28,1519,prepaid,14,0
219,36,1201,postpaid,31,1
220,30,1125,prepaid,1,0
221,69,295,prepaid,11,1
222,56,586,postpaid,37,0
223,48,885,postpaid,13,1
224,39,1244,postpaid,35,0
225,28,1969,prepaid,17,1
226,22,536,prepaid,29,1
227,27,1196,prepaid,43,1
228,34,557,postpaid,2,1
229,20,788,prepaid,35,0
230,34,1814,postpaid,34,0
231,66,625,postpaid,16,1
232,25,316,prepaid,48,1
233,53,1328,postpaid,38,1
234,18,800,prepaid,3,1
235,69,1592,prepaid,1,1
236,36,558,postpaid,43,0
237,27,272,postpaid,27,1
238,32,1040,prepaid,35,0
239,61,1656,postpaid,10,1
240,26,1779,postpaid,9,1
241,41,1265,postpaid,34,1
242,34,1294,prepaid,3,0
243,32,1267,prepaid,3,0
244,53,1281,postpaid,46,0
245,47,649,prepaid,16,1
246,58,507,postpaid,31,0
247,61,1931,prepaid,18,1
248,65,1002,postpaid,6,1
249,59,1738,postpaid,14,1
250,40,1645,prepaid,14,1
251,66,926,prepaid,42,0
252,21,522,postpaid,7,1
253,67,1719,postpaid,12,0
254,58,1626,postpaid,31,1
255,22,813,postpaid,44,1
256,31,1487,postpaid,36,0
257,69,1997,prepaid,31,1
258,41,852,prepaid,2,1
259,39,1023,prepaid,44,0
260,33,568,prepaid,33,0
261,63,1219,prepaid,8,0
262,41,1832,postpaid,25,0
263,57,1079,postpaid,42,0
264,62,1389,postpaid,45,0
265,56,921,prepaid,3,1
266,18,711,prepaid,29,0
267,58,1057,postpaid,16,1
268,19,283,postpaid,1,1
269,32,333,prepaid,30,0
270,19,938,postpaid,7,0
271,57,435,postpaid,46,0
272,68,1072,postpaid,40,0
273,42,1391,postpaid,18,1
274,55,1650,postpaid,24,1
275,22,323,prepaid,28,0
276,45,1161,prepaid,43,1
277,30,792,prepaid,32,1
278,28,457,postpaid,36,0
279,38,1603,postpaid,8,1
280,26,1760,postpaid,44,0
281,51,1502,prepaid,28,1
282,26,1325,prepaid,2,1
283,52,1999,prepaid,26,0
284,26,764,prepaid,31,1
285,48,1839,postpaid,5,0
286,43,1982,postpaid,36,1
287,52,370,prepaid,31,0
288,30,1333,postpaid,11,0
289,22,341,prepaid,27,0
290,48,318,prepaid,35,0
291,51,536,postpaid,3,0
292,53,331,postpaid,7,0
293,20,1503,postpaid,18,1
294,35,577,postpaid,40,0
295,34,486,prepaid,25,1
296,32,413,prepaid,18,0
297,56,1854,postpaid,20,0
298,57,1891,postpaid,30,1
299,55,554,prepaid,48,1
300,41,749,prepaid,13,1
301,21,1783,postpaid,18,0
302,49,729,prepaid,21,0
303,48,1197,prepaid,23,1
304,30,409,prepaid,30,1
305,53,1364,postpaid,31,1
306,21,1164,postpaid,30,0
307,69,348,postpaid,30,0
308,23,359,prepaid,44,1
309,61,585,postpaid,1,1
310,67,1571,postpaid,38,0
311,40,1314,prepaid,38,0
312,54,1604,prepaid,40,0
313,50,794,postpaid,17,0
314,38,279,postpaid,14,1
315,60,1545,postpaid,34,0
316,42,1197,postpaid,2,0
317,36,1830,prepaid,43,1
318,36,1876,postpaid,3,1
319,32,1061,prepaid,29,1
320,18,1461,postpaid,20,1
321,22,441,postpaid,27,1
322,46,1013,postpaid,13,1
323,63,1678,prepaid,6,0
324,25,1521,postpaid,11,1
325,55,1876,postpaid,33,1
326,25,1079,prepaid,6,0
327,32,432,postpaid,4,0
328,65,547,prepaid,8,1
329,54,1589,prepaid,15,1
330,56,1593,prepaid,26,1
331,45,826,postpaid,2,0
332,47,1204,postpaid,32,0
333,20,1564,postpaid,39,1
334,37,780,prepaid,28,0
335,31,1751,postpaid,48,0
336,27,1116,prepaid,11,0
337,57,955,prepaid,18,1
338,29,1151,postpaid,8,1
339,50,1702,postpaid,12,0
340,33,1715,postpaid,35,0
341,24,283,postpaid,43,0
342,19,1155,postpaid,19,1
343,62,875,prepaid,40,0
344,46,935,postpaid,3,1
345,21,1683,postpaid,21,0
346,60,1752,postpaid,14,1
347,67,1972,postpaid,42,1
348,59,1722,prepaid,31,0
349,34,1733,postpaid,21,0
350,34,1879,postpaid,21,0
351,40,736,postpaid,43,0
352,69,1849,prepaid,23,0
353,52,1458,postpaid,38,0
354,25,1499,prepaid,28,1
355,26,221,prepaid,11,1
356,19,1142,postpaid,32,1
357,37,1879,postpaid,30,0
358,18,1961,prepaid,14,0
359,40,229,postpaid,26,1
360,54,1624,postpaid,32,0
361,59,878,postpaid,25,1
362,58,412,postpaid,39,0
363,44,984,postpaid,21,1
364,23,552,prepaid,20,1
365,35,464,prepaid,17,0
366,43,331,postpaid,32,1
367,61,1175,postpaid,41,1
368,28,569,prepaid,38,0
369,66,1145,prepaid,30,0
370,68,750,prepaid,15,0
371,47,793,prepaid,12,0
372,35,635,prepaid,40,0
373,30,965,prepaid,27,0
374,63,713,prepaid,40,0
375,46,897,postpaid,4,1
376,33,612,postpaid,11,1
377,67,886,prepaid,3,1
378,64,567,prepaid,19,0
379,55,840,postpaid,46,1
380,63,1926,prepaid,6,0
381,30,245,postpaid,3,1
382,65,1739,postpaid,37,0
383,49,1826,prepaid,38,0
384,24,1866,prepaid,43,1
385,20,1361,prepaid,39,0
386,26,1640,postpaid,34,1
387,35,811,postpaid,22,0
388,60,1056,prepaid,4,1
389,49,550,prepaid,41,0
390,21,1489,postpaid,23,0
391,67,1495,postpaid,14,1
392,25,978,postpaid,18,0
393,43,407,prepaid,48,1
394,51,1976,prepaid,10,0
395,60,315,postpaid,41,0
396,39,273,prepaid,5,1
397,30,601,postpaid,2,0
398,27,595,postpaid,14,1
399,30,1398,postpaid,25,0
400,37,654,postpaid,4,0
401,47,1790,prepaid,13,1
402,59,1268,prepaid,48,1
403,46,1713,postpaid,37,1
404,18,1957,prepaid,47,1
405,69,785,postpaid,22,1
406,69,499,prepaid,6,1
407,68,1323,prepaid,27,1
408,66,1946,postpaid,1,1
409,40,949,postpaid,19,1
410,35,563,prepaid,28,1
411,31,1963,postpaid,40,1
412,48,1677,prepaid,6,1
413,47,689,postpaid,20,1
414,53,943,postpaid,13,1
415,53,1010,prepaid,14,0
416,43,874,postpaid,24,0
417,21,913,postpaid,21,1
418,28,1973,prepaid,31,1
419,48,358,prepaid,34,1
420,28,845,prepaid,42,0
421,28,690,prepaid,9,0
422,47,1491,postpaid,13,1
423,40,1947,postpaid,22,1
424,42,1713,postpaid,45,0
425,33,967,prepaid,11,0
426,43,299,prepaid,42,1
427,57,234,prepaid,16,0
428,42,1333,postpaid,43,0
429,37,1372,prepaid,11,1
430,48,1775,prepaid,18,1
431,65,1846,postpaid,39,0
432,30,319,prepaid,1,0
433,64,258,prepaid,25,0
434,66,1938,postpaid,29,1
435,69,298,prepaid,30,0
436,46,1600,prepaid,45,0
437,26,300,prepaid,48,1
438,33,1901,postpaid,19,0
439,68,1047,prepaid,14,0
440,48,732,prepaid,39,0
441,27,1444,prepaid,39,1
442,41,1293,postpaid,34,1
443,36,811,prepaid,8,0
444,40,1954,postpaid,34,0
445,69,1371,prepaid,40,0
446,36,529,prepaid,3,0
447,55,763,prepaid,35,0
448,49,1380,prepaid,6,1
449,62,207,postpaid,14,0
450,54,403,postpaid,11,1
451,55,1139,prepaid,36,0
452,62,1011,prepaid,5,0
453,22,1840,prepaid,22,0
454,54,723,postpaid,19,1
455,67,1537,postpaid,7,0
456,57,1094,postpaid,19,1
457,35,816,prepaid,2,1
458,30,1709,postpaid,38,1
459,68,1636,prepaid,22,0
460,69,806,postpaid,16,1
461,19,1216,postpaid,10,0
462,28,1763,prepaid,26,0
463,59,1623,postpaid,20,1
464,54,926,prepaid,27,0
465,63,1326,prepaid,4,1
466,44,1913,postpaid,31,1
467,46,1230,prepaid,19,1
468,18,1669,prepaid,24,0
469,65,1409,prepaid,35,1
470,54,407,prepaid,22,1
471,44,1853,prepaid,1,1
472,60,1145,prepaid,23,0
473,65,1341,prepaid,5,1
474,69,1801,postpaid,36,1
475,19,1036,postpaid,10,1
476,30,573,postpaid,29,1
477,43,825,prepaid,34,0
478,61,599,postpaid,39,1
479,40,1959,postpaid,2,1
480,18,1645,prepaid,37,1
481,39,1311,postpaid,18,0
482,19,568,postpaid,28,0
483,27,1726,prepaid,46,0
484,58,1879,prepaid,38,0
485,67,1703,prepaid,10,0
486,43,1822,prepaid,17,0
487,49,749,postpaid,39,0
488,38,1136,postpaid,24,0
489,49,1060,prepaid,46,1
490,68,1027,postpaid,8,0
491,62,1066,postpaid,25,0
492,38,254,postpaid,41,0
493,46,1085,postpaid,46,1
494,52,714,postpaid,21,1
495,39,1459,postpaid,43,0
496,30,503,postpaid,5,0
497,64,1658,postpaid,43,1
498,67,1135,postpaid,17,0
499,28,1284,postpaid,31,1
500,18,208,prepaid,8,1
501,48,1834,postpaid,46,0
502,39,294,postpaid,22,0
503,58,595,postpaid,39,1
504,63,1119,prepaid,34,1
505,45,1913,prepaid,33,0
506,68,576,postpaid,2,0
507,20,619,prepaid,11,1
508,33,750,postpaid,28,0
509,38,1204,prepaid,29,0
510,55,1532,prepaid,23,0
511,68,1477,postpaid,3,1
512,21,789,postpaid,32,1
513,44,687,prepaid,27,0
514,40,1502,postpaid,10,0
515,34,455,prepaid,15,1
516,23,1238,postpaid,35,1
517,26,1370,prepaid,24,1
518,63,1424,prepaid,13,0
519,21,601,prepaid,12,0
520,51,1051,postpaid,10,0
521,67,702,postpaid,34,0
522,44,1755,postpaid,40,0
523,58,623,postpaid,8,0
524,42,900,postpaid,24,0
525,59,850,prepaid,21,0
526,69,1663,prepaid,48,0
527,23,1553,prepaid,1,1
528,38,1729,postpaid,20,1
529,56,1607,prepaid,47,0
530,63,664,prepaid,35,0
531,28,1814,prepaid,2,1
532,29,1432,prepaid,3,0
533,51,361,prepaid,2,0
534,38,361,postpaid,12,0
535,25,711,prepaid,31,0
536,69,1628,prepaid,14,0
537,53,1331,postpaid,28,1
538,55,1438,postpaid,8,0
539,47,688,postpaid,32,0
540,48,909,postpaid,4,0
541,34,858,prepaid,46,1
542,35,1214,postpaid,46,0
543,21,271,prepaid,21,1
544,54,731,postpaid,33,1
545,33,1249,postpaid,29,1
546,50,224,postpaid,19,1
547,65,1709,prepaid,36,0
548,62,1283,postpaid,44,0
549,29,674,prepaid,44,0
550,40,616,prepaid,18,0
551,28,1517,postpaid,35,0
552,56,469,prepaid,15,1
553,43,470,postpaid,47,0
554,47,448,prepaid,9,0
555,45,373,postpaid,12,0
556,34,991,prepaid,17,0
557,18,1574,prepaid,27,0
558,39,354,postpaid,41,0
559,63,1108,postpaid,23,0
560,19,820,prepaid,14,0
561,42,1733,prepaid,42,1
562,54,817,prepaid,41,1
563,38,412,postpaid,38,0
564,60,1059,prepaid,36,0
565,36,1454,postpaid,36,0
566,40,1882,postpaid,15,0
567,63,1049,prepaid,8,0
568,37,1034,postpaid,27,0
569,27,260,postpaid,7,1
570,31,1885,prepaid,37,0
571,40,1412,prepaid,31,1
572,18,527,prepaid,22,1
573,66,392,postpaid,44,0
574,33,204,prepaid,13,0
575,42,883,postpaid,41,1
576,39,826,postpaid,16,1
577,63,1431,postpaid,34,0
578,22,1851,postpaid,16,0
579,44,786,prepaid,30,1
580,66,1024,prepaid,40,0
581,42,1037,prepaid,12,1
582,39,1588,postpaid,41,0
583,39,1183,postpaid,6,1
584,41,1342,prepaid,45,0
585,61,1891,postpaid,25,0
586,18,1665,postpaid,27,0
587,57,1426,prepaid,31,1
588,29,1438,postpaid,32,0
589,52,353,prepaid,20,0
590,59,426,prepaid,32,1
591,49,1984,prepaid,41,1
592,51,1651,prepaid,32,0
593,34,1519,prepaid,1,1
594,61,1747,prepaid,34,0
595,39,1555,prepaid,43,0
596,44,1678,prepaid,25,0
597,45,1879,postpaid,17,0
598,43,640,postpaid,21,0
599,19,612,prepaid,32,0
600,57,810,prepaid,41,0
601,47,1722,prepaid,37,1
602,39,1364,prepaid,28,1
603,27,1333,prepaid,12,1
604,22,357,postpaid,17,0
605,47,1299,prepaid,18,1
606,51,428,postpaid,29,0
607,69,653,prepaid,4,1
608,40,1858,prepaid,34,1
609,60,1932,postpaid,7,0
610,24,1090,postpaid,28,1
611,40,1604,postpaid,17,1
612,19,273,postpaid,24,1
613,62,1019,prepaid,23,1
614,55,269,prepaid,2,0
615,32,611,prepaid,11,0
616,68,1983,postpaid,18,0
617,52,365,postpaid,15,0
618,26,827,postpaid,10,0
619,43,1664,postpaid,16,0
620,45,1399,postpaid,45,0
621,53,1646,prepaid,11,0
622,44,241,prepaid,40,0
623,53,1814,prepaid,33,1
624,68,1502,prepaid,28,1
625,24,278,prepaid,19,0
626,23,1058,prepaid,42,1
627,52,1726,postpaid,12,1
628,39,635,postpaid,35,0
629,29,547,postpaid,32,1
630,63,1491,prepaid,22,0
631,35,1067,postpaid,44,1
632,26,344,prepaid,22,0
633,39,481,postpaid,4,1
634,59,1642,prepaid,30,0
635,61,1910,prepaid,21,1
636,62,412,postpaid,14,1
637,38,1759,prepaid,24,0
638,34,1980,prepaid,15,1
639,43,1701,postpaid,40,0
640,67,1133,prepaid,48,1
641,44,654,prepaid,8,0
642,34,1512,prepaid,25,1
643,62,280,postpaid,12,1
644,50,893,prepaid,3,0
645,30,1970,prepaid,17,0
646,60,215,postpaid,15,0
647,65,1958,prepaid,43,0
648,58,702,prepaid,39,1
649,34,244,postpaid,37,0
650,44,1651,postpaid,35,0
651,37,1435,prepaid,13,1
652,18,1386,postpaid,43,0
653,54,781,postpaid,19,1
654,55,712,postpaid,32,0
655,38,533,postpaid,26,0
656,52,1632,prepaid,10,1
657,61,1074,prepaid,4,1
658,38,708,prepaid,9,1
659,38,522,postpaid,16,0
660,20,1232,prepaid,40,0
661,64,969,postpaid,13,0
662,55,1111,prepaid,39,0
663,37,434,postpaid,16,0
664,37,853,postpaid,36,0
665,28,633,prepaid,27,1
666,45,1478,postpaid,26,1
667,68,1564,postpaid,44,1
668,55,1632,postpaid,48,1
669,69,1608,prepaid,13,1
670,33,1580,postpaid,35,0
671,24,1613,prepaid,12,1
672,26,1902,postpaid,24,0
673,63,873,postpaid,12,1
674,45,206,postpaid,17,0
675,34,591,postpaid,48,0
676,54,1268,postpaid,40,0
677,55,307,postpaid,15,1
678,50,1172,postpaid,28,1
679,54,1843,prepaid,20,1
680,69,1558,postpaid,1,1
681,22,238,postpaid,12,0
682,40,990,prepaid,47,0
683,40,1673,postpaid,15,0
684,59,1594,postpaid,34,0
685,20,1479,postpaid,20,0
686,42,1305,prepaid,19,1
687,39,519,prepaid,13,0
688,60,605,postpaid,30,1
689,51,1244,postpaid,25,0
690,43,775,prepaid,48,1
691,62,288,prepaid,47,1
692,18,1389,postpaid,16,0
693,47,1278,prepaid,7,0
694,37,472,postpaid,48,1
695,35,1994,postpaid,6,1
696,23,1509,postpaid,3,0
697,69,230,postpaid,22,0
698,24,1623,postpaid,30,1
699,24,1646,postpaid,5,0
700,58,1957,postpaid,43,1
701,18,1722,prepaid,29,1
702,29,796,postpaid,19,1
703,64,1848,prepaid,41,1
704,28,1959,postpaid,40,1
705,25,1475,postpaid,13,0
706,45,763,postpaid,13,0
707,41,921,postpaid,7,0
708,69,1551,postpaid,14,0
709,32,1795,prepaid,7,0
710,48,1856,prepaid,16,1
711,35,1347,prepaid,4,0
712,32,745,prepaid,20,0
713,37,526,postpaid,4,1
714,41,1029,prepaid,33,1
715,48,1069,postpaid,17,1
716,25,827,prepaid,10,1
717,18,1401,prepaid,22,0
718,27,987,prepaid,44,1
719,63,454,postpaid,35,0
720,54,1275,prepaid,9,1
721,44,325,postpaid,32,1
722,26,578,prepaid,36,0
723,59,697,prepaid,42,0
724,65,694,prepaid,29,0
725,41,659,prepaid,10,0
726,45,754,prepaid,11,0
727,54,1720,prepaid,34,1
728,21,410,prepaid,13,0
729,24,955,prepaid,43,0
730,54,1421,prepaid,17,0
731,67,430,prepaid,17,1
732,21,1311,postpaid,39,0
733,29,243,postpaid,43,1
734,47,409,postpaid,30,1
735,62,1867,postpaid,7,0
736,41,1906,postpaid,29,1
737,55,1872,postpaid,13,0
738,65,1755,postpaid,24,1
739,48,1878,prepaid,46,0
740,54,490,postpaid,14,0
741,52,234,postpaid,38,1
742,24,591,postpaid,43,1
743,61,1613,prepaid,24,0
744,66,1693,prepaid,23,1
745,33,1400,postpaid,44,0
746,18,1112,prepaid,42,0
747,60,1041,postpaid,21,0
748,67,1073,prepaid,8,0
749,36,688,postpaid,40,0
750,24,1886,postpaid,22,0
751,30,672,postpaid,5,0
752,64,1129,prepaid,18,0
753,20,1136,postpaid,29,0
754,41,1213,postpaid,42,0
755,52,1939,postpaid,11,0
756,53,1178,prepaid,42,1
757,26,910,prepaid,19,0
758,52,528,postpaid,30,1
759,53,1379,postpaid,23,1
760,53,1917,prepaid,41,0
761,22,243,prepaid,37,0
762,38,611,prepaid,21,1
763,68,1239,prepaid,17,1
764,31,1745,postpaid,31,0
765,41,1457,prepaid,1,1
766,41,763,postpaid,14,0
767,27,1194,prepaid,12,0
768,56,1235,postpaid,26,0
769,37,1113,prepaid,3,0
770,66,1903,postpaid,23,0
771,19,1045,prepaid,21,1
772,68,394,prepaid,22,0
773,38,1187,prepaid,45,0
774,54,885,prepaid,41,1
775,31,1366,prepaid,36,0
776,45,1717,postpaid,23,1
777,39,522,prepaid,28,1
778,48,1077,prepaid,15,0
779,51,841,prepaid,18,1
780,27,433,postpaid,19,0
781,68,1012,prepaid,24,1
782,65,1019,prepaid,2,1
783,45,1865,prepaid,30,1
784,49,1879,prepaid,38,1
785,55,457,prepaid,46,0
786,36,1606,postpaid,40,0
787,37,440,postpaid,47,0
788,65,1432,postpaid,32,0
789,25,345,prepaid,23,1
790,58,1423,prepaid,2,0
791,38,1200,prepaid,46,1
792,55,905,prepaid,12,0
793,65,840,prepaid,35,1
794,40,566,postpaid,21,0
795,40,975,postpaid,16,1
796,48,912,postpaid,9,0
797,42,1632,prepaid,13,0
798,38,1419,prepaid,38,0
799,49,529,postpaid,18,0
800,54,1438,prepaid,29,0
801,42,777,postpaid,48,1
802,26,1725,postpaid,3,1
803,35,1135,postpaid,35,1
804,46,1057,prepaid,9,0
805,23,255,prepaid,3,0
806,52,1214,postpaid,14,1
807,61,881,postpaid,39,0
808,52,536,prepaid,12,0
809,41,256,prepaid,5,0
810,35,900,prepaid,22,1
811,34,701,prepaid,36,0
812,31,1242,postpaid,9,0
813,64,1334,postpaid,17,1
814,58,640,prepaid,48,0
815,66,1289,prepaid,27,1
816,43,1779,prepaid,31,1
817,25,1974,prepaid,9,1
818,36,428,postpaid,18,1
819,62,594,postpaid,27,0
820,52,489,prepaid,26,0
821,63,496,prepaid,40,1
822,32,798,postpaid,5,0
823,48,1774,postpaid,47,0
824,44,256,postpaid,38,0
825,29,1580,postpaid,14,0
826,61,577,prepaid,9,1
827,52,1331,postpaid,20,1
828,26,1250,prepaid,45,0
829,24,561,postpaid,1,0
830,64,1593,prepaid,38,1
831,53,1099,prepaid,9,0
832,57,1680,prepaid,13,0
833,27,1364,postpaid,43,1
834,45,1943,prepaid,3,1
835,48,1755,postpaid,12,1
836,57,442,postpaid,38,1
837,51,743,prepaid,10,1
838,52,548,prepaid,45,0
839,64,523,postpaid,44,1
840,52,1292,postpaid,11,1
841,37,367,prepaid,30,0
842,60,642,prepaid,47,0
843,20,425,prepaid,11,0
844,59,1347,prepaid,3,0
845,51,1714,postpaid,35,1
846,24,407,prepaid,45,1
847,58,571,postpaid,21,1
848,47,1980,prepaid,24,0
849,24,1768,postpaid,47,0
850,63,1942,postpaid,17,0
851,43,719,prepaid,2,0
852,18,350,postpaid,28,1
853,68,295,postpaid,47,0
854,46,1021,prepaid,15,1
855,24,1936,postpaid,31,0
856,34,1474,prepaid,44,1
857,22,1222,postpaid,11,0
858,20,264,postpaid,30,0
859,66,1533,prepaid,24,1
860,33,1441,postpaid,44,0
861,37,513,postpaid,21,0
862,43,1748,postpaid,39,0
863,25,879,postpaid,40,0
864,31,225,postpaid,21,1
865,46,438,prepaid,20,1
866,54,1156,prepaid,3,1
867,53,645,postpaid,48,0
868,22,1465,postpaid,24,1
869,68,496,postpaid,10,0
870,21,1442,prepaid,10,0
871,68,225,prepaid,26,1
872,31,482,postpaid,7,0
873,36,1540,prepaid,12,0
874,54,1028,prepaid,17,1
875,29,1344,prepaid,4,1
876,27,1638,postpaid,37,0
877,33,968,prepaid,44,1
878,37,658,postpaid,40,1
879,22,1790,postpaid,25,0
880,38,1021,postpaid,18,1
881,46,770,postpaid,26,0
882,41,1939,prepaid,5,1
883,38,562,prepaid,20,0
884,36,1997,prepaid,40,1
885,54,1393,postpaid,32,1
886,48,1660,postpaid,42,0
887,20,501,prepaid,1,1
888,25,517,postpaid,17,1
889,64,1926,postpaid,33,1
890,32,319,postpaid,14,1
891,47,894,prepaid,44,1
892,19,1733,postpaid,35,0
893,53,1458,postpaid,1,1
894,49,1619,prepaid,10,0
895,28,1723,prepaid,2,0
896,33,549,postpaid,26,0
